versao_schema;id_pedido;datahora_pedido_utc;status;nome_cliente;email_cliente;cidade_cliente;estado_cliente;id_produto;nome_produto;categoria_produto;nome_fornecedor;nome_fabricante;quantidade; preco_unitario ; desconto ; valor_bruto ; valor_liquido ;metodo_pagamento;datahora_pagamento_utc;em_atraso
v1;P0000459;2025-08-01T14:48:47.520139+00:00;pedido;João Guilherme Vasconcelos;qfogaca@example.com;Pastor do Oeste;PE;PRD002945;Agulha 25x7;Odontologia;Farmacêutica Lopes;Distribuidora Cassiano;8; R$ 664,77 ; R$ 0,10 ; R$ 5.318,16 ; R$ 4.786,34 ;Cartão de Crédito;2025-08-04T14:48:47.520139+00:00;True
v1;P0000540;2025-08-02T20:48:47.524206+00:00;devolvido;Maria Fogaça;ravy84@example.org;Gomes do Sul;PI;PRD003571;Agulha 25x7;Serviço de Nutrição e Dietética (SND);Hospitalar Souza Novais - EI;Hospitalar Guerra Araújo S.A.;2; R$ 364,69 ; R$ -   ; R$ 729,38 ; R$ 729,38 ;Boleto Bancário;2025-08-02T20:48:47.524206+00:00;False
v1;P0000548;2025-06-07T17:48:47.524541+00:00;entregue;Cecilia Castro;raelandrade@example.com;da Mata;PA;PRD006824;Agulha 25x7;Odontologia;Hospitalar Vieira Rodrigues - ME;Fornecedora Azevedo Peixoto S/A;3; R$ 399,58 ; R$ -   ; R$ 1.198,74 ; R$ 1.198,74 ;Cartão de Crédito;2025-06-07T17:48:47.524541+00:00;False
v1;P0000565;2025-05-31T12:48:47.525314+00:00;entregue;Ana Luiza da Rocha;hcarvalho@example.net;Farias do Galho;PA;PRD007553;Agulha 25x7;Serviço de Nutrição e Dietética (SND);Distribuidora Santos Azevedo S/A;Comercial Siqueira;1; R$ 677,00 ; R$ -   ; R$ 677,00 ; R$ 677,00 ;Cartão de Crédito;2025-05-31T12:48:47.525314+00:00;False
v1;P0000610;2025-05-08T12:48:47.527430+00:00;enviado;Sr. José Pedro Viana;maria-vitoriacirino@example.net;Fernandes;AP;PRD007264;Agulha 25x7;Medicamento;Fornecedora Camargo;Farmacêutica Aragão e Filhos;6; R$ 365,34 ; R$ -   ; R$ 2.192,04 ; R$ 2.192,04 ;Boleto Bancário;2025-05-15T12:48:47.527430+00:00;True
v1;P0000615;2025-07-20T05:48:47.527646+00:00;devolvido;João Felipe Brito;heloisa73@example.net;Moreira;MT;PRD006259;Agulha 25x7;Odontologia;Farmacêutica Rios da Mata e Filhos;Hospitalar Azevedo;8; R$ 99,22 ; R$ -   ; R$ 793,76 ; R$ 793,76 ;PIX;2025-07-20T05:48:47.527646+00:00;False
v1;P0000619;2025-05-26T01:48:47.527806+00:00;devolvido;Ester Camargo;thiagoda-rocha@example.com;Porto;PB;PRD006076;Agulha 25x7;Serviço de Higiene e Limpeza (SHL);Distribuidora da Conceição Montenegro - EI;Distribuidora Montenegro da Luz S.A.;1; R$ 9,26 ; R$ 0,15 ; R$ 9,26 ; R$ 7,87 ;PIX;2025-05-26T01:48:47.527806+00:00;False
v1;P0000626;2025-06-24T02:48:47.528087+00:00;pedido;Matheus Sales;kcampos@example.net;Farias da Mata;MG;PRD005300;Agulha 25x7;Medicamento;Hospitalar Sampaio Lima Ltda.;Distribuidora Leão e Filhos;1; R$ 231,00 ; R$ -   ; R$ 231,00 ; R$ 231,00 ;Boleto Bancário;2025-06-27T02:48:47.528087+00:00;True
v1;P0000639;2025-05-16T07:48:47.528612+00:00;enviado;Gustavo Casa Grande;rebeca76@example.org;Pimenta;RR;PRD007882;Agulha 25x7;Material de Expediente;Farmacêutica Rodrigues Duarte S/A;Hospitalar Guerra Campos - EI;4; R$ 93,97 ; R$ -   ; R$ 375,88 ; R$ 375,88 ;Boleto Bancário;2025-05-16T07:48:47.528612+00:00;False
v1;P0000646;2025-05-26T07:48:47.529003+00:00;pedido;Lunna Leão;ayllada-conceicao@example.org;da Conceição do Campo;ES;PRD007911;Agulha 25x7;Material Médico Hospitalar;Fornecedora Fogaça;Distribuidora Martins;6; R$ 637,80 ; R$ -   ; R$ 3.826,80 ; R$ 3.826,80 ;Boleto Bancário;2025-05-26T07:48:47.529003+00:00;False
v1;P0000664;2025-05-12T00:48:47.529758+00:00;enviado;Ana Luiza Correia;fborges@example.com;da Paz;AP;PRD008286;Agulha 25x7;Odontologia;Farmacêutica Peixoto Ltda.;Farmacêutica Carvalho;7; R$ 797,23 ; R$ 0,10 ; R$ 5.580,61 ; R$ 5.022,55 ;Boleto Bancário;2025-05-12T00:48:47.529758+00:00;False
v1;P0000697;2025-05-28T15:48:47.531572+00:00;enviado;Luiz Fernando Alves;casa-grandeagatha@example.net;Fogaça da Serra;PE;PRD009391;Agulha 25x7;Material de Expediente;Farmacêutica da Luz Moura - EI;Hospitalar Abreu;4; R$ 90,87 ; R$ -   ; R$ 363,48 ; R$ 363,48 ;Cartão de Crédito;2025-05-28T15:48:47.531572+00:00;False
v1;P0000718;2025-04-25T20:48:47.532466+00:00;entregue;Sr. Antônio Nascimento;breno76@example.net;da Mata do Sul;RR;PRD002276;Agulha 25x7;Serviço de Nutrição e Dietética (SND);Comercial da Cruz;Fornecedora Rios Silva Ltda.;7; R$ 171,62 ; R$ 0,10 ; R$ 1.201,34 ; R$ 1.081,21 ;Boleto Bancário;2025-04-25T20:48:47.532466+00:00;False
v1;P0000795;2025-07-11T13:48:47.536114+00:00;enviado;Manuela da Paz;enzo-gabrielda-mata@example.com;Fonseca de Goiás;BA;PRD002070;Agulha 25x7;Odontologia;Fornecedora Pastor Câmara S/A;Distribuidora da Luz;7; R$ 384,11 ; R$ -   ; R$ 2.688,77 ; R$ 2.688,77 ;PIX;2025-07-18T13:48:47.536114+00:00;True
v1;P0000810;2025-07-07T22:48:47.536728+00:00;devolvido;Elisa Casa Grande;maria-vitoriasilva@example.com;Santos;PE;PRD004059;Agulha 25x7;Material de Expediente;Farmacêutica da Luz Moura - EI;Fornecedora Barbosa Macedo - EI;1; R$ 350,29 ; R$ 0,05 ; R$ 350,29 ; R$ 332,78 ;PIX;2025-07-07T22:48:47.536728+00:00;False
v1;P0000812;2025-05-24T17:48:47.536810+00:00;enviado;Nicolas Camargo;freitasamanda@example.org;Campos;MS;PRD001973;Agulha 25x7;Odontologia;Distribuidora Alves S/A;Distribuidora da Luz;3; R$ 154,99 ; R$ 0,15 ; R$ 464,97 ; R$ 395,22 ;PIX;2025-05-24T17:48:47.536810+00:00;False
v1;P0000819;2025-05-08T07:48:47.537161+00:00;enviado;Gael Pinto;nunesrebeca@example.org;Montenegro de Almeida;AM;PRD000717;Agulha 25x7;Material Médico Hospitalar;Fornecedora Marques Abreu e Filhos;Comercial Albuquerque - ME;6; R$ 244,67 ; R$ 0,10 ; R$ 1.468,02 ; R$ 1.321,22 ;Boleto Bancário;2025-05-11T07:48:47.537161+00:00;True
v1;P0000824;2025-07-14T04:48:47.537382+00:00;enviado;Kaique Gomes;diasjoao-miguel@example.com;da Luz das Flores;TO;PRD004550;Agulha 25x7;Serviço de Nutrição e Dietética (SND);Comercial Novais S.A.;Hospitalar Guerra Araújo S.A.;3; R$ 183,02 ; R$ 0,15 ; R$ 549,06 ; R$ 466,70 ;PIX;2025-07-14T04:48:47.537382+00:00;False
v1;P0000830;2025-06-20T06:48:47.537678+00:00;devolvido;Maria Helena Ferreira;ninada-paz@example.org;Sousa;PI;PRD001642;Agulha 25x7;Material de Expediente;Comercial da Cruz;Hospitalar Azevedo;4; R$ 60,22 ; R$ -   ; R$ 240,88 ; R$ 240,88 ;PIX;2025-06-21T06:48:47.537678+00:00;True
v1;P0000853;2025-06-10T07:48:47.538709+00:00;devolvido;Luiz Gustavo Leão;nsilveira@example.com;da Cruz;BA;PRD005830;Agulha 25x7;Material de Expediente;Comercial Teixeira Fernandes S/A;Fornecedora da Rocha Cunha S/A;6; R$ 602,59 ; R$ 0,10 ; R$ 3.615,54 ; R$ 3.253,99 ;Cartão de Crédito;2025-06-10T07:48:47.538709+00:00;False
v1;P0000865;2025-07-10T05:48:47.539200+00:00;enviado;Gael Nascimento;xsales@example.com;Porto de Goiás;AL;PRD001369;Agulha 25x7;Medicamento;Comercial Casa Grande;Hospitalar Araújo Moraes S/A;4; R$ 695,08 ; R$ 0,10 ; R$ 2.780,32 ; R$ 2.502,29 ;PIX;2025-07-17T05:48:47.539200+00:00;True
v1;P0000868;2025-05-04T18:48:47.539352+00:00;pedido;Sophia Freitas;dmoreira@example.org;Silva da Praia;PE;PRD009477;Agulha 25x7;Serviço de Nutrição e Dietética (SND);Farmacêutica Fonseca;Fornecedora Brito Brito e Filhos;7; R$ 659,30 ; R$ 0,15 ; R$ 4.615,10 ; R$ 3.922,84 ;PIX;2025-05-04T18:48:47.539352+00:00;False
v1;P0000887;2025-08-10T03:48:47.540259+00:00;enviado;Luana Pastor;milenasilva@example.net;da Mota de Costa;AC;PRD001367;Agulha 25x7;Serviço de Nutrição e Dietética (SND);Comercial Casa Grande;Distribuidora da Luz;6; R$ 96,26 ; R$ -   ; R$ 577,56 ; R$ 577,56 ;PIX;2025-08-10T03:48:47.540259+00:00;False
v1;P0000901;2025-05-30T23:48:47.540832+00:00;enviado;Ana Albuquerque;matheus13@example.org;Silveira;CE;PRD005231;Agulha 25x7;Serviço de Higiene e Limpeza (SHL);Farmacêutica Lopes;Farmacêutica Pacheco Peixoto S/A;5; R$ 560,44 ; R$ -   ; R$ 2.802,20 ; R$ 2.802,20 ;Boleto Bancário;2025-05-30T23:48:47.540832+00:00;False
v1;P0000930;2025-07-28T14:48:47.542133+00:00;pedido;Eloá Cavalcanti;marcelo23@example.com;Montenegro;AM;PRD003359;Agulha 25x7;Serviço de Higiene e Limpeza (SHL);Farmacêutica Azevedo;Farmacêutica Carvalho;8; R$ 554,02 ; R$ -   ; R$ 4.432,16 ; R$ 4.432,16 ;PIX;2025-07-31T14:48:47.542133+00:00;True
v1;P0000953;2025-05-16T09:48:47.543176+00:00;devolvido;Maria Júlia Barbosa;alexia38@example.com;Cardoso;MT;PRD009003;Agulha 25x7;Medicamento;Comercial Porto;Hospitalar Correia Correia - EI;1; R$ 312,76 ; R$ 0,10 ; R$ 312,76 ; R$ 281,48 ;Boleto Bancário;2025-05-17T09:48:47.543176+00:00;True
v1;P0000968;2025-07-21T05:48:47.543819+00:00;entregue;Henrique Carvalho;elisada-mota@example.org;Barbosa da Prata;GO;PRD008108;Agulha 25x7;Material Médico Hospitalar;Hospitalar Brito Garcia Ltda.;Comercial Cirino;6; R$ 762,87 ; R$ 0,10 ; R$ 4.577,22 ; R$ 4.119,50 ;Boleto Bancário;2025-07-21T05:48:47.543819+00:00;False
v1;P0000988;2025-06-27T07:48:47.544727+00:00;devolvido;André Ferreira;isadorafogaca@example.org;Lopes;PR;PRD007288;Agulha 25x7;Odontologia;Hospitalar Souza Novais - EI;Hospitalar Correia Correia - EI;8; R$ 666,84 ; R$ -   ; R$ 5.334,72 ; R$ 5.334,72 ;Boleto Bancário;2025-06-27T07:48:47.544727+00:00;False
v1;P0001008;2025-07-17T22:48:47.545611+00:00;enviado;Mariah Moura;cavalcanteyan@example.net;da Rocha;AL;PRD001374;Agulha 25x7;Odontologia;Hospitalar da Cruz;Distribuidora da Luz;2; R$ 80,83 ; R$ -   ; R$ 161,66 ; R$ 161,66 ;Boleto Bancário;2025-07-20T22:48:47.545611+00:00;True
v1;P0001020;2025-04-24T13:48:47.546551+00:00;pedido;Beatriz Silveira;apollopereira@example.org;Gomes do Sul;AM;PRD000855;Agulha 25x7;Serviço de Higiene e Limpeza (SHL);Comercial Porto;Hospitalar Guerra Campos - EI;3; R$ 118,95 ; R$ 0,10 ; R$ 356,85 ; R$ 321,17 ;Boleto Bancário;2025-04-24T13:48:47.546551+00:00;False
v1;P0001042;2025-04-17T04:48:47.547497+00:00;enviado;Theodoro das Neves;laviniacastro@example.com;Moreira;MG;PRD009305;Agulha 25x7;Material Médico Hospitalar;Farmacêutica Sá S/A;Comercial Siqueira;1; R$ 135,40 ; R$ -   ; R$ 135,40 ; R$ 135,40 ;PIX;2025-04-20T04:48:47.547497+00:00;True
v1;P0001044;2025-07-14T07:48:47.547640+00:00;pedido;Luara Rezende;kgarcia@example.org;Ramos das Pedras;DF;PRD004009;Agulha 25x7;Material de Expediente;Comercial Pastor - EI;Farmacêutica Aragão - EI;5; R$ 249,48 ; R$ -   ; R$ 1.247,40 ; R$ 1.247,40 ;PIX;2025-07-15T07:48:47.547640+00:00;True
v1;P0001056;2025-07-13T08:48:47.548192+00:00;pedido;Cecilia Campos;xaparecida@example.com;Jesus Grande;PB;PRD002065;Agulha 25x7;Material de Expediente;Farmacêutica Azevedo;Hospitalar Guerra Campos - EI;1; R$ 427,36 ; R$ 0,10 ; R$ 427,36 ; R$ 384,62 ;Cartão de Crédito;2025-07-13T08:48:47.548192+00:00;False
v1;P0001084;2025-07-01T06:48:47.549382+00:00;enviado;Maria Alice Cirino;pedro-miguelda-rosa@example.org;Silveira;SP;PRD003675;Agulha 25x7;Serviço de Nutrição e Dietética (SND);Hospitalar Nogueira Cardoso e Filhos;Hospitalar Correia Correia - EI;7; R$ 16,31 ; R$ -   ; R$ 114,17 ; R$ 114,17 ;Boleto Bancário;2025-07-01T06:48:47.549382+00:00;False
v1;P0001118;2025-07-21T19:48:47.550961+00:00;enviado;Júlia Freitas;aragaogiovanna@example.net;Correia da Mata;DF;PRD008497;Agulha 25x7;Material Médico Hospitalar;Distribuidora Fonseca Ltda.;Farmacêutica Jesus;6; R$ 41,07 ; R$ -   ; R$ 246,42 ; R$ 246,42 ;PIX;2025-07-21T19:48:47.550961+00:00;False
v1;P0001127;2025-05-25T12:48:47.551376+00:00;enviado;Ian Moura;juanvasconcelos@example.org;da Rosa;SE;PRD000234;Agulha 25x7;Material de Expediente;Distribuidora Alves S/A;Hospitalar Guerra Araújo S.A.;1; R$ 599,61 ; R$ 0,10 ; R$ 599,61 ; R$ 539,65 ;PIX;2025-05-25T12:48:47.551376+00:00;False
v1;P0001136;2025-05-29T11:48:47.551764+00:00;devolvido;Lorena Abreu;qfogaca@example.org;da Cunha;BA;PRD002298;Agulha 25x7;Odontologia;Distribuidora Santos Azevedo S/A;Hospitalar Guerra Araújo S.A.;5; R$ 170,96 ; R$ 0,15 ; R$ 854,80 ; R$ 726,58 ;Cartão de Crédito;2025-05-29T11:48:47.551764+00:00;False
v1;P0001151;2025-07-19T11:48:47.552431+00:00;devolvido;Yago da Luz;nribeiro@example.org;Casa Grande do Sul;CE;PRD004315;Agulha 25x7;Material de Expediente;Comercial Cassiano e Filhos;Comercial Sá;3; R$ 321,39 ; R$ -   ; R$ 964,17 ; R$ 964,17 ;Cartão de Crédito;2025-07-19T11:48:47.552431+00:00;False
v1;P0001191;2025-06-21T15:48:47.554292+00:00;enviado;Felipe Macedo;calmeida@example.org;Andrade de Fogaça;PR;PRD006590;Agulha 25x7;Material de Expediente;Fornecedora Gomes - ME;Distribuidora Borges S.A.;5; R$ 119,47 ; R$ 0,10 ; R$ 597,35 ; R$ 537,62 ;Cartão de Crédito;2025-06-24T15:48:47.554292+00:00;True
v1;P0001196;2025-07-25T00:48:47.554503+00:00;devolvido;Sr. Breno Montenegro;gcamargo@example.org;Costela;MT;PRD004025;Agulha 25x7;Odontologia;Farmacêutica Fonseca;Fornecedora Freitas da Paz S.A.;7; R$ 462,18 ; R$ -   ; R$ 3.235,26 ; R$ 3.235,26 ;Boleto Bancário;2025-07-25T00:48:47.554503+00:00;False
v1;P0001219;2025-06-21T13:48:47.555446+00:00;entregue;Melina Moreira;mariada-rocha@example.org;Macedo;PA;PRD006249;Agulha 25x7;Odontologia;Comercial Moura;Fornecedora Brito Brito e Filhos;8; R$ 126,38 ; R$ 0,10 ; R$ 1.011,04 ; R$ 909,94 ;Cartão de Crédito;2025-06-21T13:48:47.555446+00:00;False
v1;P0001220;2025-07-17T10:48:47.555486+00:00;devolvido;Julia Borges;agathasiqueira@example.net;Fogaça;SE;PRD007737;Agulha 25x7;Serviço de Nutrição e Dietética (SND);Comercial Cassiano e Filhos;Farmacêutica Aragão e Filhos;3; R$ 125,08 ; R$ -   ; R$ 375,24 ; R$ 375,24 ;PIX;2025-07-17T10:48:47.555486+00:00;False
v1;P0001232;2025-05-14T18:48:47.556050+00:00;entregue;Ana Clara das Neves;ojesus@example.net;Nascimento;DF;PRD002668;Agulha 25x7;Serviço de Nutrição e Dietética (SND);Farmacêutica Carvalho Sousa S/A;Hospitalar Correia Correia - EI;5; R$ 367,47 ; R$ -   ; R$ 1.837,35 ; R$ 1.837,35 ;PIX;2025-05-15T18:48:47.556050+00:00;True
v1;P0001236;2025-06-22T20:48:47.556248+00:00;devolvido;Helena Novaes;apolloandrade@example.org;Montenegro;MG;PRD006487;Agulha 25x7;Serviço de Higiene e Limpeza (SHL);Comercial Cassiano;Distribuidora Borges S.A.;6; R$ 601,93 ; R$ 0,10 ; R$ 3.611,58 ; R$ 3.250,42 ;Cartão de Crédito;2025-06-22T20:48:47.556248+00:00;False
v1;P0001253;2025-06-05T08:48:47.556952+00:00;entregue;Maria Fernanda Moreira;maria-julia73@example.com;Cavalcante;PE;PRD009027;Agulha 25x7;Serviço de Nutrição e Dietética (SND);Hospitalar Vieira Rodrigues - ME;Fornecedora Azevedo Peixoto S/A;6; R$ 367,72 ; R$ 0,10 ; R$ 2.206,32 ; R$ 1.985,69 ;PIX;2025-06-05T08:48:47.556952+00:00;False
