versao_schema;id_pedido;datahora_pedido_utc;status;nome_cliente;email_cliente;cidade_cliente;estado_cliente;id_produto;nome_produto;categoria_produto;nome_fornecedor;nome_fabricante;quantidade;preco_unitario;desconto;valor_bruto;valor_liquido;metodo_pagamento;datahora_pagamento_utc;em_atraso
v1;P0000032;2023-05-30T14:08:41.918045+00:00;enviado;Dra. Isabelly Caldeira;isaque90@example.com;Ribeiro da Praia;AP;PRD001988;Antisséptico Bucal;Material Médico Hospitalar;Comercial Almeida;Comercial Marques;7;178,98;0,15;1252,86;1064,93;Boleto Bancário;2023-06-02T14:08:41.918045+00:00;True
v1;P0000033;2024-04-06T23:19:41.051059+00:00;devolvido;Manuela Albuquerque;gmendonca@example.com;Porto dos Dourados;RR;PRD008976;Antisséptico Bucal;Material Médico Hospitalar;Distribuidora Fonseca Ltda.;Farmacêutica Pacheco Peixoto S/A;6;760,28;0,1;4561,68;4105,51;Cartão de Crédito;2024-04-13T23:19:41.051059+00:00;True
v1;P0000034;2025-01-06T20:27:52.415668+00:00;devolvido;Pedro Henrique Cavalcanti;stephany77@example.com;Duarte de Goiás;TO;PRD003919;Álcool 70%;Odontologia;Fornecedora Abreu;Farmacêutica da Paz;4;672,69;0,05;2690,76;2556,22;PIX;2025-01-09T20:27:52.415668+00:00;True
v1;P0000035;2019-07-22T16:58:41.649183+00:00;enviado;João Lucas Machado;maria-fernandanunes@example.net;Fernandes do Sul;PR;PRD006275;Agulha 25x7;Material de Expediente;Comercial Pereira e Filhos;Distribuidora Rocha e Filhos;5;272,0;0,15;1360,0;1156,0;Cartão de Crédito;2019-07-22T16:58:41.649183+00:00;False
v1;P0000036;2023-02-02T14:56:12.990820+00:00;devolvido;Sr. Ryan Cunha;valentim54@example.net;Novais do Sul;PE;PRD006381;Paracetamol 500mg;Serviço de Higiene e Limpeza (SHL);Comercial Rodrigues e Filhos;Distribuidora da Luz;7;268,05;0,1;1876,35;1688,71;PIX;2023-02-02T14:56:12.990820+00:00;False
v1;P0000037;2025-05-28T06:20:30.821013+00:00;enviado;Bryan da Costa;jmendonca@example.org;Ramos de Silva;PR;PRD007999;Máscara Descartável;Serviço de Nutrição e Dietética (SND);Comercial Montenegro Caldeira e Filhos;Fornecedora Rios Silva Ltda.;6;242,4;0,1;1454,4;1308,96;PIX;2025-05-29T06:20:30.821013+00:00;True
v1;P0000038;2024-10-27T23:12:03.941642+00:00;enviado;Allana Borges;pedro-miguel63@example.com;Melo da Prata;PE;PRD008751;Paracetamol 500mg;Odontologia;Distribuidora Farias S/A;Distribuidora Barbosa - EI;7;272,22;0,1;1905,54;1714,99;Boleto Bancário;2024-10-28T23:12:03.941642+00:00;True
v1;P0000039;2020-06-19T15:50:58.334102+00:00;enviado;Dr. Yan Farias;maria44@example.com;Campos;SC;PRD000823;Álcool 70%;Odontologia;Fornecedora Carvalho Moraes - ME;Distribuidora Borges S.A.;1;71,74;0,1;71,74;64,57;Cartão de Crédito;2020-06-20T15:50:58.334102+00:00;True
v1;P0000040;2022-01-11T04:31:25.187254+00:00;entregue;Levi Campos;matheuscunha@example.net;da Mota de Silveira;RJ;PRD001341;Sabonete Antisséptico;Medicamento;Distribuidora Campos;Comercial Siqueira;6;273,31;0,1;1639,86;1475,87;Cartão de Crédito;2022-01-12T04:31:25.187254+00:00;True
v1;P0000041;2024-12-18T09:24:08.766925+00:00;enviado;Larissa Brito;ana-carolinada-conceicao@example.com;da Rosa;AC;PRD000333;Agulha 25x7;Material Médico Hospitalar;Fornecedora Nascimento;Distribuidora da Luz;4;521,86;0,0;2087,44;2087,44;Boleto Bancário;2024-12-18T09:24:08.766925+00:00;False
v1;P0000042;2023-05-31T17:01:22.756207+00:00;entregue;Dra. Carolina da Mota;aragaoana@example.net;Porto;SP;PRD002749;Seringa 5ml;Material Médico Hospitalar;Farmacêutica Pacheco;Farmacêutica Caldeira;2;453,36;0,0;906,72;906,72;Boleto Bancário;2023-05-31T17:01:22.756207+00:00;False
v1;P0000043;2024-08-05T23:34:24.468772+00:00;devolvido;Bella Albuquerque;maria-isis77@example.com;Aragão;GO;PRD003249;Dipirona 1g;Serviço de Higiene e Limpeza (SHL);Farmacêutica Andrade Dias - ME;Farmacêutica Caldeira;1;743,47;0,15;743,47;631,95;Boleto Bancário;2024-08-06T23:34:24.468772+00:00;True
v1;P0000044;2025-03-13T04:11:36.899143+00:00;pedido;Bruna Azevedo;emendonca@example.net;Cassiano;BA;PRD005688;Termômetro Digital;Material de Expediente;Hospitalar Novaes;Distribuidora Rocha e Filhos;5;680,98;0,15;3404,9;2894,16;Boleto Bancário;2025-03-16T04:11:36.899143+00:00;True
v1;P0000045;2025-04-09T04:22:14.262061+00:00;devolvido;Liz Barros;isaacnovais@example.com;Vasconcelos;PE;PRD005934;Antisséptico Bucal;Material de Expediente;Fornecedora Oliveira;Hospitalar Guerra Campos - EI;6;15,06;0,1;90,36;81,32;PIX;2025-04-09T04:22:14.262061+00:00;False
v1;P0000046;2025-01-21T13:25:47.740038+00:00;devolvido;Milena Macedo;liz49@example.net;Pimenta;SC;PRD009707;Álcool 70%;Serviço de Nutrição e Dietética (SND);Farmacêutica Andrade Dias - ME;Comercial Araújo - ME;5;494,65;0,15;2473,25;2102,26;Cartão de Crédito;2025-01-22T13:25:47.740038+00:00;True
v1;P0000047;2024-01-13T06:29:35.468060+00:00;devolvido;Gustavo Henrique Pires;viniciusribeiro@example.org;da Costa;CE;PRD005511;Paracetamol 500mg;Odontologia;Fornecedora Carvalho Moraes - ME;Fornecedora Barbosa Macedo - EI;8;198,87;0,1;1590,96;1431,86;Cartão de Crédito;2024-01-20T06:29:35.468060+00:00;True
v1;P0000048;2022-07-17T16:16:31.569016+00:00;entregue;Ana Vitória Castro;jesusmanuella@example.net;da Rocha de Andrade;ES;PRD009106;Paracetamol 500mg;Serviço de Higiene e Limpeza (SHL);Hospitalar Castro;Comercial Araújo - ME;4;287,09;0,05;1148,36;1090,94;PIX;2022-07-20T16:16:31.569016+00:00;True
v1;P0000049;2024-08-29T20:23:52.953811+00:00;devolvido;João Miguel Sampaio;rbarbosa@example.org;Viana Verde;RO;PRD007342;Paracetamol 500mg;Medicamento;Hospitalar Souza Novais - EI;Hospitalar Jesus Mendonça - ME;7;393,42;0,0;2753,94;2753,94;Cartão de Crédito;2024-09-05T20:23:52.953811+00:00;True
v1;P0000050;2022-10-04T19:14:42.355642+00:00;entregue;Otávio Camargo;kaiqueda-mata@example.org;Araújo;CE;PRD006971;Soro Fisiológico 0,9%;Serviço de Nutrição e Dietética (SND);Farmacêutica Peixoto Ltda.;Distribuidora da Luz;4;248,43;0,15;993,72;844,66;Cartão de Crédito;2022-10-07T19:14:42.355642+00:00;True
v1;P0000051;2022-05-06T17:11:05.853227+00:00;enviado;João Pedro Macedo;martinsana-julia@example.net;da Mata do Galho;PI;PRD003138;Luva Cirúrgica G;Material de Expediente;Comercial Araújo da Costa - EI;Distribuidora da Luz;5;188,28;0,0;941,4;941,4;Boleto Bancário;2022-05-13T17:11:05.853227+00:00;True
v1;P0000052;2022-03-09T02:24:32.088685+00:00;enviado;Maysa Barros;lopesayla@example.net;Alves de Minas;ES;PRD004952;Paracetamol 500mg;Material de Expediente;Farmacêutica Macedo;Farmacêutica Carvalho;5;784,51;0,0;3922,55;3922,55;Cartão de Crédito;2022-03-09T02:24:32.088685+00:00;False
v1;P0000053;2022-02-24T07:13:31.345862+00:00;devolvido;Alícia Teixeira;bruno27@example.net;da Mota de Cirino;RJ;PRD001680;Paracetamol 500mg;Serviço de Higiene e Limpeza (SHL);Comercial Carvalho;Distribuidora da Luz;1;779,56;0,15;779,56;662,63;Cartão de Crédito;2022-02-24T07:13:31.345862+00:00;False
v1;P0000054;2021-10-17T07:20:28.808775+00:00;pedido;Rebeca Borges;aferreira@example.com;Rios do Campo;CE;PRD001070;Esparadrapo 10cm;Odontologia;Fornecedora Abreu;Distribuidora Barbosa - EI;8;275,86;0,0;2206,88;2206,88;Boleto Bancário;2021-10-18T07:20:28.808775+00:00;True
v1;P0000055;2025-10-19T06:09:05.284560+00:00;enviado;Dr. Thales da Paz;jteixeira@example.org;Borges de Dias;GO;PRD001940;Termômetro Digital;Serviço de Higiene e Limpeza (SHL);Distribuidora da Mota Rios - ME;Fornecedora Freitas da Paz S.A.;1;125,62;0,15;125,62;106,78;PIX;2025-10-19T06:09:05.284560+00:00;False
v1;P0000056;2022-03-12T12:39:06.170740+00:00;devolvido;Sr. Nathan Moraes;ribeirovitoria@example.com;Aragão do Oeste;PE;PRD005003;Amoxicilina 500mg;Serviço de Higiene e Limpeza (SHL);Comercial Teixeira Fernandes S/A;Distribuidora Borges S.A.;7;363,16;0,1;2542,12;2287,91;Boleto Bancário;2022-03-15T12:39:06.170740+00:00;True
v1;P0000057;2020-10-02T11:08:18.680271+00:00;pedido;Dr. Pedro Miguel Teixeira;costelavitor@example.net;da Paz;PB;PRD002564;Paracetamol 500mg;Odontologia;Distribuidora Cassiano Freitas S.A.;Hospitalar Azevedo;4;215,39;0,0;861,56;861,56;Cartão de Crédito;2020-10-02T11:08:18.680271+00:00;False
v1;P0000058;2024-09-27T20:41:38.644064+00:00;devolvido;Sra. Camila Alves;liamdas-neves@example.net;Novaes;PA;PRD001166;Máscara Descartável;Serviço de Nutrição e Dietética (SND);Distribuidora Farias S/A;Farmacêutica Aragão e Filhos;5;30,95;0,05;154,75;147,01;Cartão de Crédito;2024-10-04T20:41:38.644064+00:00;True
v1;P0000059;2025-08-20T04:37:08.488701+00:00;pedido;Henry Gabriel Camargo;pcampos@example.org;Silva de da Rocha;PE;PRD000977;Luva Cirúrgica M;Serviço de Nutrição e Dietética (SND);Distribuidora da Mota Rios - ME;Distribuidora Barbosa - EI;2;437,93;0,0;875,86;875,86;Cartão de Crédito;2025-08-20T04:37:08.488701+00:00;False
v1;P0000060;2024-09-15T02:21:49.462277+00:00;devolvido;Sra. Maria Vitória Mendes;dda-cruz@example.net;Gomes;DF;PRD007172;Dipirona 1g;Serviço de Higiene e Limpeza (SHL);Distribuidora da Conceição Montenegro - EI;Hospitalar Guerra Campos - EI;8;103,86;0,05;830,88;789,34;Boleto Bancário;2024-09-15T02:21:49.462277+00:00;False
v1;P0000061;2019-10-05T05:54:56.409270+00:00;pedido;Sophia Souza;davi-miguelda-mota@example.com;Viana do Galho;GO;PRD004415;Amoxicilina 500mg;Material Médico Hospitalar;Distribuidora Fonseca Ltda.;Comercial Marques;6;484,95;0,0;2909,7;2909,7;Boleto Bancário;2019-10-12T05:54:56.409270+00:00;True
v1;P0000062;2025-12-26T16:49:45.412876+00:00;devolvido;João Miguel Silveira;mariana27@example.net;Ferreira de Farias;PI;PRD001494;Sabonete Antisséptico;Serviço de Nutrição e Dietética (SND);Farmacêutica Lopes;Fornecedora da Rocha Cunha S/A;8;733,28;0,0;5866,24;5866,24;Cartão de Crédito;2025-12-27T16:49:45.412876+00:00;True
v1;P0000063;2023-01-23T07:39:21.015128+00:00;entregue;Maria Flor Marques;marcos-vinicius39@example.com;Vasconcelos;PA;PRD006561;Amoxicilina 500mg;Odontologia;Comercial Cassiano;Distribuidora Cassiano;2;686,9;0,05;1373,8;1305,11;Cartão de Crédito;2023-01-24T07:39:21.015128+00:00;True
v1;P0000064;2025-06-15T01:13:49.634334+00:00;devolvido;Liam Souza;zsantos@example.com;Ribeiro Grande;PR;PRD006770;Amoxicilina 500mg;Material Médico Hospitalar;Distribuidora Cunha;Farmacêutica Aragão - EI;6;97,16;0,1;582,96;524,66;Boleto Bancário;2025-06-15T01:13:49.634334+00:00;False
v1;P0000065;2021-04-20T03:20:17.871728+00:00;enviado;Davi Lucas Montenegro;guilherme71@example.net;Albuquerque de Silveira;BA;PRD004719;Antisséptico Bucal;Material de Expediente;Hospitalar Barros e Filhos;Hospitalar Correia Correia - EI;8;502,2;0,0;4017,6;4017,6;PIX;2021-04-23T03:20:17.871728+00:00;True
v1;P0000066;2023-12-05T07:43:26.245735+00:00;devolvido;Daniela Barbosa;qviana@example.com;Rezende de Minas;MT;PRD001527;Máscara Descartável;Medicamento;Comercial Almeida;Hospitalar Correia Correia - EI;4;569,28;0,05;2277,12;2163,26;Boleto Bancário;2023-12-08T07:43:26.245735+00:00;True
v1;P0000067;2023-09-07T03:15:26.779628+00:00;devolvido;Yasmin Garcia;mariah80@example.net;da Costa;RS;PRD007905;Sabonete Antisséptico;Material Médico Hospitalar;Farmacêutica Peixoto Ltda.;Comercial Albuquerque - ME;3;401,21;0,05;1203,63;1143,45;PIX;2023-09-07T03:15:26.779628+00:00;False
v1;P0000068;2023-09-05T18:12:25.804595+00:00;pedido;Laura da Conceição;lopesgael-henrique@example.net;Macedo;CE;PRD004526;Termômetro Digital;Serviço de Nutrição e Dietética (SND);Hospitalar Cardoso Ribeiro - ME;Distribuidora da Luz;7;156,54;0,15;1095,78;931,41;PIX;2023-09-05T18:12:25.804595+00:00;False
v1;P0000069;2024-02-02T13:37:41.741436+00:00;devolvido;Sra. Ana Aparecida;daniel45@example.com;Casa Grande de Goiás;PE;PRD002434;Antisséptico Bucal;Serviço de Higiene e Limpeza (SHL);Comercial Araújo da Costa - EI;Fornecedora Souza Ltda.;5;582,21;0,15;2911,05;2474,39;Cartão de Crédito;2024-02-09T13:37:41.741436+00:00;True
v1;P0000070;2025-06-22T06:52:29.073914+00:00;enviado;Emilly Cavalcante;emanuelpimenta@example.com;Monteiro;RJ;PRD009368;Esparadrapo 10cm;Material Médico Hospitalar;Farmacêutica Lopes;Farmacêutica Jesus;7;367,0;0,05;2569,0;2440,55;Cartão de Crédito;2025-06-29T06:52:29.073914+00:00;True
v1;P0000071;2022-11-18T23:28:48.403294+00:00;enviado;Igor Martins;maria-clara40@example.com;Rocha da Prata;CE;PRD008115;Amoxicilina 500mg;Material Médico Hospitalar;Hospitalar Cardoso Ribeiro - ME;Distribuidora Montenegro da Luz S.A.;8;565,66;0,1;4525,28;4072,75;Cartão de Crédito;2022-11-25T23:28:48.403294+00:00;True
v1;P0000072;2019-11-28T12:22:37.314129+00:00;pedido;Pedro Miguel Ferreira;lais47@example.com;Gomes;PR;PRD002361;Termômetro Digital;Material de Expediente;Fornecedora Oliveira;Distribuidora Rocha e Filhos;2;699,98;0,1;1399,96;1259,96;Cartão de Crédito;2019-11-29T12:22:37.314129+00:00;True
v1;P0000073;2024-06-16T11:38:18.213522+00:00;devolvido;Isaac Garcia;ana-carolina40@example.net;da Mota do Sul;RJ;PRD005188;Sabonete Antisséptico;Serviço de Higiene e Limpeza (SHL);Distribuidora Alves S/A;Fornecedora Freitas da Paz S.A.;5;274,16;0,1;1370,8;1233,72;PIX;2024-06-16T11:38:18.213522+00:00;False
v1;P0000074;2025-12-27T09:04:14.404961+00:00;pedido;Ana Julia Pereira;xda-paz@example.org;Câmara do Oeste;RN;PRD007110;Seringa 5ml;Material de Expediente;Comercial Teixeira Fernandes S/A;Farmacêutica Pacheco Peixoto S/A;4;506,77;0,05;2027,08;1925,73;PIX;2026-01-03T09:04:14.404961+00:00;True
v1;P0000075;2022-06-01T17:54:00.332465+00:00;entregue;Davi Miguel Pires;piresbruno@example.com;Andrade de Pacheco;MS;PRD005873;Compressa de Algodão;Odontologia;Comercial Pires;Hospitalar Guerra Araújo S.A.;5;723,22;0,0;3616,1;3616,1;Boleto Bancário;2022-06-01T17:54:00.332465+00:00;False
v1;P0000076;2020-11-30T10:48:48.918300+00:00;devolvido;Srta. Ayla da Rocha;kamilly23@example.org;Moura do Galho;GO;PRD003945;Sabonete Antisséptico;Serviço de Higiene e Limpeza (SHL);Comercial Pires;Hospitalar Jesus Mendonça - ME;7;454,91;0,0;3184,37;3184,37;Cartão de Crédito;2020-11-30T10:48:48.918300+00:00;False
v1;P0000077;2025-08-05T22:08:16.113300+00:00;entregue;José Miguel Mendes;camila17@example.org;Sá;ES;PRD008955;Luva Cirúrgica M;Medicamento;Comercial Porto;Fornecedora Souza Ltda.;5;370,36;0,0;1851,8;1851,8;Boleto Bancário;2025-08-06T22:08:16.113300+00:00;True
v1;P0000078;2024-08-29T07:41:55.631253+00:00;entregue;Maria Laura Novais;fernando60@example.com;Marques;MS;PRD003263;Esparadrapo 10cm;Odontologia;Comercial Garcia S/A;Hospitalar Guerra Araújo S.A.;5;512,96;0,1;2564,8;2308,32;Cartão de Crédito;2024-08-30T07:41:55.631253+00:00;True
v1;P0000079;2017-11-21T04:37:47.277526+00:00;devolvido;Julia Pacheco;xporto@example.org;Melo;AC;PRD004497;Paracetamol 500mg;Serviço de Higiene e Limpeza (SHL);Comercial Novais S.A.;Hospitalar Azevedo;6;461,98;0,05;2771,88;2633,29;Boleto Bancário;2017-11-28T04:37:47.277526+00:00;True
